"","vignette_name","eth_name","order_name","ts_scale","ts_forced_recode"
"1","biz","white","TS_first",8,1
"2","minorities","white","Donation_first",6,1
"3","police","white","TS_first",7,1
"4","minorities","immigrant","Donation_first",7,1
"5","police","white","Donation_first",3,0
"8","dad","white","Donation_first",5,0
"9","alcohol","white","TS_first",7,1
"10","alcohol","white","TS_first",8,1
"11","alcohol","white","Donation_first",8,1
"14","biz","immigrant","Donation_first",7,0
"15","terr","white","Donation_first",7,1
"16","dad","white","TS_first",1,0
"20","minorities","immigrant","TS_first",9,1
"21","terr","white","TS_first",7,1
"22","terr","immigrant","TS_first",7,0
"23","biz","white","Donation_first",9,1
"24","minorities","immigrant","Donation_first",6,0
"25","terr","white","TS_first",9,1
"26","police","immigrant","TS_first",3,0
"27","dad","immigrant","Donation_first",9,0
"29","minorities","immigrant","TS_first",5,0
"30","alcohol","immigrant","Donation_first",7,1
"32","minorities","white","Donation_first",7,1
"33","alcohol","white","Donation_first",9,1
"34","biz","white","TS_first",5,1
"35","biz","immigrant","Donation_first",6,0
"36","police","white","Donation_first",8,1
"40","dad","white","TS_first",4,0
"44","terr","white","Donation_first",5,0
"45","minorities","immigrant","Donation_first",8,1
"46","police","immigrant","TS_first",5,0
"48","police","white","TS_first",6,0
"50","alcohol","immigrant","TS_first",9,1
"57","minorities","white","TS_first",7,1
"59","biz","white","Donation_first",8,0
"60","police","white","Donation_first",9,1
"61","police","immigrant","Donation_first",5,1
"65","dad","white","TS_first",5,0
"66","alcohol","white","Donation_first",7,1
"71","terr","white","TS_first",6,1
"72","police","white","TS_first",7,1
"78","alcohol","white","Donation_first",7,0
"82","terr","white","Donation_first",8,0
"83","alcohol","white","TS_first",4,0
"85","minorities","immigrant","Donation_first",2,0
"87","alcohol","immigrant","TS_first",4,0
"88","biz","white","TS_first",7,1
"90","terr","white","Donation_first",6,0
"91","biz","immigrant","TS_first",6,1
"92","terr","immigrant","TS_first",7,1
"93","minorities","white","Donation_first",9,1
"94","alcohol","immigrant","Donation_first",5,1
"95","police","white","TS_first",8,1
"96","police","white","Donation_first",6,0
"97","terr","white","TS_first",9,1
"98","alcohol","white","Donation_first",9,1
"99","minorities","immigrant","TS_first",7,1
"101","police","immigrant","Donation_first",7,1
"103","minorities","white","TS_first",7,0
"105","biz","immigrant","Donation_first",7,1
"107","dad","white","TS_first",5,0
"109","dad","white","Donation_first",6,0
"110","dad","white","Donation_first",6,1
"113","biz","immigrant","TS_first",8,0
"115","biz","white","Donation_first",7,0
"116","alcohol","white","Donation_first",6,1
"117","biz","white","TS_first",3,0
"119","police","immigrant","TS_first",7,1
