ss,id,startDate,endDate,MID,study,confirmation_code,Ethn,Ethn_TEXT,Age,Gender,Edu,SES,1.11,threaten,attitudes,value,like,connected,Al-I-W-1,Al-I-W-1_TEXT,Al-I-W-2,1.12,threaten,attitude,value,like,connected,Alha-I-A-1,Alha-I-A-1_TEXT,Alha-I-A-2,1.13,threaten,attitude,value,like,connected,Alha-I-A-1,Alha-I-A-1_TEXT,Alha-I-A-2,2.21,threat,attitude,value,like,connected,Dani-D-W-1,Dani-D-W-1_TEXT,Dani-D-W-2,2.22,threat,feel,value,like,connected,Dany-D-A-1,Dany-D-A-1_TEXT,Dany-D-A-2,2.23,threaten,attitude,value,like,connected,Dany-D-A-1,Dany-D-A-1_TEXT,Dany-D-A-2,3.21,threaten,attitude,value,like,connected,Harr-D-W-1,Harr-D-W-1_TEXT,Harr-D-W-2,3.22,threat,attitude,value,like,connected,Har-D-A-1,Har-D-A-1_TEXT,Har-D-A-2,3.23,threaten,attitude,value,like,connected,Har-D-A-1,Har-D-A-1_TEXT,Har-D-A-2,4.11,threat,attitude,value,like,connected,Jeff-I-W-1,Jeff-I-W-1_TEXT,Jeff_I-W-2,4.12,threat,attitude,value,like,connected,Jaf-I-A-1,Jaf-I-A-1_TEXT,Jaf-I-A-2,4.13,threaten,attitude,value,like,connected,Jaf-I-A-1,Jaf-I-A-1_TEXT,Jaf-I-A-2,5.11,threat,attitude,value,like,connected,Chad-I-W-1,Chad-I-W-1_TEXT,Chad-I-W-2,5.12,threat,attitude,value,like,connected,Chah-I-A-1,Chah-I-A-1_TEXT,Chah-I-A-2,5.13,threaten,attitude,value,like,connected,Chah-I-A-1,Chah-I-A-1_TEXT,Chah-I-A-2,6.21,threat,attitude,value,like,connected,Adam-D-W-1,Adam-D-W-1_TEXT,Adam-D-W-2,6.22,threat,attitude,value,like,connected,Adna-D-A-1,Adna-D-A-1_TEXT,Adna-D-A-2,6.23,threat,attitude,value,like,connected,Adna-D-A-1,Adna-D-A-1_TEXT,Adna-D-A-2,1.21,threat,attitude,value,like,connected,Al-D-W-1,Al-D-W-1_TEXT,Al-D-W-2,1.22,threat,attitude,value,like,connected,Alha-D-A-1,Alha-D-A-1_TEXT,Alha-D-A-2,1.23,threat,attitude,value,like,connected,Alha-D-A-1,Alha-D-A-1_TEXT,Alha-D-A-2,2.11,threat,attitude,value,like,connected,Dani-I-W-1,Dani-I-W-1_TEXT,Dani-I-W-2,2.12,threat,attitude,value,like,connected,Dany-I-A-1,Dany-I-A-1_TEXT,Dany-I-A-2,2.13,threat,attitude,value,like,connected,Dany-I-A-1,Dany-I-A-1_TEXT,Dany-I-A-2,3.11,threat,attitude,value,like,connected,Harr-I-W-1,Harr-I-W-1_TEXT,Harr-I-W-2,3.12,threat,attitude,value,like,connected,Har-I-A-1,Har-I-A-1_TEXT,Har-I-A-2,3.13,threat,attitude,value,like,connected,Har-I-A-1,Har-I-A-1_TEXT,Har-I-A-2,4.21,threat,attitude,value,like,connected,Jeff-D-W-1,Jeff-D-W-1_TEXT,Jeff-D-W-2,4.22,threat,attitude,value,like,connected,Jafr-D-A-1,Jafr-D-A-1_TEXT,Jafr-D-A-2,4.23,threat,attitude,value,like,connected,Jafr-D-A-1,Jafr-D-A-1_TEXT,Jafr-D-A-2,5.21,threat,attitude,value,like,connected,Chad-D-W-1,Chad-D-W-1_TEXT,Chad-D-W-2,5.22,threat,attitude,value,like,connected,Chah-D-A-1,Chah-D-A-1_TEXT,Chah-D-A-2,5.23,threat,attitude,value,like,connected,Chah-D-A-1,Chah-D-A-1_TEXT,Chah-D-A-2,6.11,threat,attitude,value,like,connected,Adam-I-W-1,Adam-I-W-1_TEXT,Adam-I-W-2,6.12,threat,attitude,value,like,connected,Adna-I-A-1,Adna-I-A-1_TEXT,Adna-I-A-2,6.13,threat,attitude,value,like,connected,Adna-I-A-1,Adna-I-A-1_TEXT,Adna-I-A-2,check1,check2,check_excl,comp1_eth,comp1_eth_recode,comp2_cond,exclude2,exclude,vignette.condition.eth,vignette,vignette_name,condition,cond_name,eth_cond,eth_cond_name,threat,attitude,value,like ,connected,identification,ts_forced,ts_forced_recode,ts_scaled,ethn_ss,Ethn_TEXT,ATT_CENT,IDENT_CENT,COND_DUMMY,ETH_IMMIG,ETH_SYRIAN
1,R_1pVy2pwPaU3xunG,1/8/16 8:30,1/8/16 8:31,A2ISPT28181D14,Julian_1,27997062,6,,25,1,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,6,4,5,3,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,1,0,0,4.12,4,alcohol,1,improvement,2,immigrant,4,6,4,5,3,4,1,1,6,6,,0.642156863,-1.153267974,0,1,0
2,R_RmJdeGy7t4dw4St,1/8/16 8:30,1/8/16 8:31,A3AJJHOAV7WIUQ,Julian_1,75379866,6,,43,2,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,7,6,7,7,1,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,3,0,1,2.13,2,terr,1,improvement,3,syrian,2,7,6,7,7,6.666666667,1,1,8,6,,1.642156863,1.513398693,0,0,1
3,R_0HSlqZslVpBJPVL,1/8/16 8:30,1/8/16 8:32,A28QEJO6ZC1ITI,Julian_1,98466810,6,,34,1,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,9,7,7,7,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,1,0,0,2.11,2,terr,1,improvement,1,white,1,9,7,7,7,7,1,1,7,6,,3.642156863,1.846732026,0,0,0
4,R_4NHRLEPCJAutAcx,1/8/16 8:30,1/8/16 8:32,A2CF2BD4Q0ZDJN,Julian_1,19576057,6,,53,1,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,4,5,5,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,6,1,2,1,1,4.21,4,alcohol,2,deterioration,1,white,2,5,4,5,5,4.666666667,1,1,7,6,,-0.357843137,-0.486601307,1,0,0
5,R_DriGXhscSMzBxdv,1/8/16 8:30,1/8/16 8:32,A2594GNYHM9VWE,Julian_1,85402778,6,,30,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,6,5,5,4,3,Emotional problems,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,2,1,1,4.23,4,alcohol,2,deterioration,3,syrian,2,6,5,5,4,4.666666667,3,0,1,6,,0.642156863,-0.486601307,1,0,1
6,R_2xKSlTP8711PRQq,1/8/16 8:30,1/8/16 8:32,ANVAFB99K5RKP,Julian_1,80958144,6,,28,2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,8,7,3,1,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,1,0,0,5.11,5,minorities,1,improvement,1,white,1,6,8,7,3,6,1,1,8,6,,0.642156863,0.846732026,0,0,0
7,R_3gTpMI3Sxy0kigd,1/8/16 8:31,1/8/16 8:32,A1LAZ3AO0NYBC1,Julian_1,43091911,6,,29,1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,5,5,6,7,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,1,0,1,1,1,3.11,3,biz,1,improvement,1,white,6,5,5,6,7,6,1,1,6,6,,-0.357843137,0.846732026,0,0,0
8,R_1EYUyDYvUCGGnYd,1/8/16 8:30,1/8/16 8:33,A3AS0GUPHL69C1,Julian_1,19264937,6,,49,2,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,5,5,7,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,I have read the instructions,0,6,1,1,0,0,4.11,4,alcohol,1,improvement,1,white,1,5,5,5,7,5.666666667,1,1,5,6,,-0.357843137,0.513398693,0,0,0
9,R_1d4Qmbhyg5PcnrR,1/8/16 8:31,1/8/16 8:33,A1DS5O8MSI3ZH0,Julian_1,15230263,6,,38,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,5,6,5,5,2,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,2,0,0,6.22,6,police,2,deterioration,2,immigrant,4,5,6,5,5,5.333333333,2,0,6,6,,-0.357843137,0.180065359,1,1,0
10,R_6nDjLm3FgAkWZJ7,1/8/16 8:30,1/8/16 8:33,AIEKCWYZTS41V,Julian_1,99031447,1,,30,1,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,6,6,5,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,2,0,0,2.22,2,terr,2,deterioration,2,immigrant,1,5,6,6,5,5.666666667,2,0,1,1,,-0.357843137,0.513398693,1,1,0
