"","confirmation_code","Gender","SES","X1.111","X1.112","Al.IW2.1"
"1",31534780,1,9,NA,NA,NA
"5",12401663,1,5,NA,NA,NA
"6",83057952,2,6,NA,NA,NA
"7",75671799,1,5,NA,NA,NA
"11",63728789,2,6,NA,NA,NA
"12",65848843,2,6,NA,NA,NA
"13",84896134,1,3,NA,NA,NA
"17",36087871,2,6,NA,NA,NA
"18",87778860,1,5,NA,NA,NA
"20",89100253,2,5,NA,NA,NA
"22",51746936,1,3,NA,NA,NA
"24",96509428,1,7,NA,NA,NA
"25",11552163,2,9,NA,NA,NA
"27",23760736,1,8,NA,NA,NA
"31",97726007,2,8,NA,NA,NA
"32",37314419,1,5,NA,NA,NA
"33",13703629,2,5,NA,NA,NA
"35",54472245,1,7,NA,NA,NA
"36",84455746,2,7,NA,NA,NA
"38",95320498,1,8,NA,NA,NA
"39",25565824,1,6,1,NA,NA
"40",24954095,1,6,NA,NA,NA
"41",14121385,1,6,NA,NA,NA
"42",85018941,1,4,NA,NA,NA
"45",35211969,2,8,NA,NA,NA
"48",31722731,1,6,NA,NA,NA
"49",94821193,2,7,NA,NA,NA
"53",58812946,1,7,NA,NA,NA
"55",16045204,1,5,NA,NA,NA
"56",90408593,2,5,NA,NA,NA
"57",98495520,2,6,NA,NA,NA
"58",54582673,1,8,NA,NA,NA
"61",16991418,1,9,NA,NA,NA
"62",75518668,1,8,NA,NA,NA
"63",66233556,1,9,NA,NA,NA
"64",88131402,2,5,NA,NA,NA
"65",42761327,2,8,NA,NA,NA
"69",94642755,2,3,NA,NA,NA
"70",88207992,2,8,NA,NA,NA
"71",63619891,1,5,NA,NA,NA
"73",93627572,1,7,NA,NA,NA
"74",99891610,2,1,NA,NA,NA
"75",15320149,1,5,NA,NA,NA
"76",33266318,2,4,NA,NA,NA
"78",31403204,2,7,NA,NA,NA
"80",34027738,2,6,NA,NA,NA
"81",52178428,2,6,NA,NA,NA
"82",52316289,1,8,NA,NA,NA
"84",50901405,2,5,NA,NA,NA
"85",34698150,2,6,NA,NA,NA
"86",26191066,2,5,NA,NA,NA
"88",70876027,1,5,NA,NA,NA
"89",70044343,2,8,NA,NA,NA
"90",69311124,2,6,NA,NA,NA
"93",71758145,1,7,NA,NA,NA
"96",45315639,1,6,NA,NA,NA
"97",46702061,1,5,NA,NA,NA
"98",55340210,2,6,NA,NA,NA
"99",36064529,2,7,NA,NA,NA
"100",46797881,2,7,NA,NA,NA
"101",21693448,2,7,NA,NA,NA
"102",65504426,1,8,NA,NA,NA
"104",26349703,NA,5,NA,NA,NA
"106",47308140,1,9,NA,NA,NA
"107",89438580,1,6,NA,NA,NA
"109",97860045,1,7,NA,NA,NA
"110",41583118,2,6,1,NA,NA
"114",44078359,2,8,NA,NA,NA
"117",84381302,1,5,NA,NA,NA
"119",35179061,1,8,NA,NA,NA
"120",83449909,2,7,NA,NA,NA
"121",74603839,2,5,NA,NA,NA
"122",34647004,1,8,NA,NA,NA
"125",35208306,1,9,NA,NA,NA
"127",90024006,2,4,NA,NA,NA
"130",55199225,1,4,NA,NA,NA
"137",66796674,2,6,NA,NA,NA
"138",21143087,2,7,NA,NA,NA
"140",80154893,2,7,1,NA,NA
"141",18639326,1,4,NA,NA,NA
"142",70833993,2,7,NA,NA,NA
"144",93332267,2,8,NA,1,1
"146",14947750,2,6,NA,NA,NA
"149",59712904,1,5,NA,NA,NA
"152",22707772,2,5,NA,NA,NA
"154",42328758,1,5,NA,NA,NA
"155",67277157,2,5,NA,NA,NA
"156",26291727,2,6,NA,NA,NA
"157",72001767,2,7,NA,NA,NA
