ss,id,IPAddress,StartDate,EndDate,MID,study,confirmation_code,Age,Gender,Edu,SES,1.111,threaten,attitudes,value,like,connected,Al-IW1-1,Al-IW1-2,1.112,Al-IW2-1,Al-IW2-2,threat,attitude,value,like,connected,1.121,threaten,attitude,value,like,connected,Alha-II1-1,Alha-II1-2,1.122,Alha-II2-1,Alha-II2-2,threat,attitude,value,like,connected,2.211,threat,attitude,value,like,connected,Dan-DW1-1,Dan-DW1-2,2.212,Dan-DW2-1,Dan-DW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,2.221,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,DANY-DI1-1,DANY-DI1-2,2.222,DANY-DI2-1,DANY-DI2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,3.211,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,HAR-DW1-1,HAR-DW1-2,3.212,HAR-DW2-1,HAR-DW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,3.221,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,HAR-DI1-1,HAR-DI1-2,3.222,HAR-DI2-1,HAR-DI2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,4.111,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,JEF-IW1-1,JEF-IW1-2,4.112,JEF-IW2-1,JEF-IW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,4.121,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,JAF-II1-1,JF-II1-2,4.122,JAF-II2-1,JAF-II2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,5.111,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,CHAD-IW1-1,CHAD-IW1-2,5.112,CHAD-IW2-1,CHAD-IW2-2,THREAT,ATTITUDE,VALUE,LIKE ,CONNECTED,5.121,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,CHAH-II1-1,CHAH-II1-2,5.122,CHAH-II2-1,CHAH-II2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,6.211,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,ADAM-DW1-1,ADAM-DW1-2,6.212,ADAM-DW2-1,ADAM-DW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,6.221,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,ADNA-DI1-1,ADNA-DI1-2,6.222,ADNA-DI2-1,ADNA-DI2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,1.211,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,AL-DW1-1,AL-DW1-2,1.212,AL-DW2-1,AL-DW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,1.221,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,Alha-D-I-1,Alha-D-I-2,1.222,ALHA-DI2-1,ALHA-DI2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,2.111,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,DAN-IW1-1,DAN-IW1-2,2.112,DAN-IW2-1,DAN-IW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,2.121,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,DANY-II1-1,DANY-II1-2,2.122,DANY-II2-1,DANY-II2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,3.111,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,HAR-IW1-1,HAR-IW1-2,3.112,HAR-IW2-1,HAR-IW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,3.121,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,HAR-II1-1,HAR-II1-2,3.122,HAR-II2-1,HAR-II2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,4.211,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,JEFF-DW1-1,JEF-DW1-2,4.212,JEFF-DW2-1,JEFF-DW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,4.221,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,JAFR-DI1-1,JAFR-DI1-2,4.222,JAFR-DI2-1,JAFR-DI2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,5.211,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,CHAD-DW1-1,CHAD-DW1-2,5.212,CHAD-DW2-1,CHAD-DW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,5.221,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,CHAH-DI1-1,CHAH-DI1-2,5.222,CHAH-DI2-1,CHAH-DI2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,6.111,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,ADAM-IW1-1,ADAM-IW1-2,6.112,ADAM-IW2-1,ADAM-IW2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,6.121,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,ADNA-II1-1,ADNA-II1-2,6.122,ADNA-II2-1,ADNA-II2-2,THREAT,ATTITUDE,VALUE,LIKE,CONNECTED,check1,check2,check_excl,comp1_eth,comp1_eth_recode,comp2_cond,exclude,eth_ss,vignette.condition.eth.order,VIGNETTE,VIGNETTE_NAME,COND,COND_NAME,ETH_COND,ETH_COND_NAME,ORDER,THREAT,ATTITUDE,value,like,connected,IDENTIFICATION,ts_forced,TS_FORCED_RECODE,TS_SCALE
1,R_1ffOysSeAVSbJDJ,24.149.32.59,1/21/16 13:36,1/21/16 13:40,A9YLTA7PS7OVP,Julian_2,31534780,31,1,2,9,,,,,,,,,,,,,,,,,,,,,,,,,1,1,9,1,9,9,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,1,0,6,1.122,1,dad,1,improvement,2,immigrant,2,1,9,9,9,8,8.666666667,1,1,9
2,R_3szg7BvX634LWeb,104.230.79.97,1/21/16 13:48,1/21/16 13:49,A3JWLZQE19KVPT,Julian_2,21263142,31,2,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,6,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,1,1,6,3.122,3,biz,1,improvement,2,immigrant,2,6,5,4,4,4,4,1,1,6
3,R_1dcZ2jdOJY1ENUl,165.134.212.51,1/21/16 13:48,1/21/16 13:49,A3NJ5Q421BJJG8,Julian_2,71730534,21,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,6,6,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,2,1,6,1.221,1,dad,2,deterioration,2,immigrant,1,2,5,6,6,4,5.333333333,1,1,3
4,R_3kixUar7XvtekIU,108.44.77.100,1/21/16 13:49,1/21/16 13:50,A1C78BNSMEP5I1,Julian_2,55161802,20,2,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,6,5,5,5,5,5,2,,1,6,1,2,1,6,6.122,6,police,1,improvement,2,immigrant,2,5,5,5,5,5,5,2,0,6
5,R_2TuZz0GRAz9XOfX,164.119.71.232,1/21/16 13:48,1/21/16 13:50,A2J1VDVDYZRK29,Julian_2,12401663,27,1,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,7,6,7,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,5,2,1,0,6,4.122,4,alcohol,1,improvement,2,immigrant,2,7,6,7,6,5,6,1,1,7
6,R_1M6OR596ozjJV1A,74.8.119.71,1/21/16 13:48,1/21/16 13:50,A1GFN7WDJ0GX5V,Julian_2,83057952,30,2,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,5,5,6,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,1,0,6,6.111,6,police,1,improvement,1,white,1,3,5,5,5,6,5.333333333,2,0,5
7,R_2wjnh86airxUIrc,24.125.189.231,1/21/16 13:48,1/21/16 13:50,A2Q1M05B62RWOB,Julian_2,75671799,43,1,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,8,8,6,6,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,2,0,6,2.211,2,terr,2,deterioration,1,white,1,2,8,8,6,6,6.666666667,2,0,4
8,R_3nMc7v96JStiXAp,66.194.102.38,1/21/16 13:48,1/21/16 13:50,A3SHP9IPZ2FLOX,Julian_2,19407362,40,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,2,5,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,2,1,6,4.222,4,alcohol,2,deterioration,2,immigrant,2,2,5,5,5,2,4,1,1,5
9,R_3rS9DMRFnnwlvh1,76.77.239.56,1/21/16 13:49,1/21/16 13:51,A2HTN7HCNBQ8V4,Julian_2,78737924,40,1,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,9,5,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,2,1,6,2.221,2,terr,2,deterioration,2,immigrant,1,1,5,9,5,5,6.333333333,2,0,1
10,R_2TLgT17x0A9Ml8V,68.113.120.82,1/21/16 13:50,1/21/16 13:51,A2F2ULTCYSLBLN,Julian_2,45289646,26,1,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,1,8,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have read the instructions,0,6,1,2,1,6,3.222,3,biz,2,deterioration,2,immigrant,2,1,8,8,8,7,7.666666667,2,0,5
