ss,id,MID,Age,Gender,Edu,SES,Comp2,check_excl,1.11,ALWTS-T_3,Al-W-TS-1,Al-W-TS-2,DONATION-T_3,DONATION,1.12,DONATION-T_3,DONATION,ALWD-T_3,AL-W-TS1,AL-W-TS2,1.21,ALITS-T_3,AL-I-TS1,AL-I-TS2,DONATION-T_3,DONATION,1.22,DONATION-T_3,DONATION,ALID-T_3,AL-I-TS1,AL-I-TS2,2.11,DANWTS-T_3,DAN-W-TS-1,DAN-W-TS-2,DONATION-T_3,DONATION,2.12,DONATION-T_3,DONATION,DANWD-T_3,DAN-W-TS1,DAN-W-TS2,2.21,DANYITS-T_3,DAN-I-TS1,DAN-I-TS2,DONATION-T_3,DONATION,2.22,DONATION-T_3,DONATION,DANYID-T_3,DAN-I-TS1,DAN-I-TS2,3.11,HARRWTS-T_3,HAR-W-TS1,HAR-W-TS2,DONATION-T_3,DONATION,3.12,DONATION-T_3,DONATION,HARWD-T_3,HAR-W-TS1,HAR-W-TS2,3.21,HARITS-T_3,HAR-I-TS1,HAR-I-TS2,DONATION-T_3,DONATION,3.22,DONATION-T_3,DONATION,HARID-T_3,HAR-I-TS1,HAR-I-TS2,4.11,JEFWTS-T_3,JEF-W-TS1,JEF-W-TS2,DONATION-T_3,DONATION,4.12,DONATION-T_3,DONATION,JEFWD-T_3,JEF-W-TS1,JEF-2-TS2,4.21,JAFITS-T_3,JAF-I-TS1,JAF-I-TS2,DONATION-T_3,DONATION,4.22,DONATION-T_3,DONATION,JAFID-T_3,JAF-I-TS1,JAF-I-TS2,5.11,CHADWTS-T_3,CHA-W-TS1,CHA-W-TS2,DONATION-T_3,DONATION,5.12,DONATION-T_3,DONATION,CHADWD-T_3,CHAD-W-TS1,CHAD-W-TS2,5.21,CHAHITS-T_3,CHA-I-TS1,CHA-I-TS2,DONATION-T_3,DONATION,5.22,DONATION_3,DONATION,CHAHID-T_3,CHAH-I-TS1,CHAH-I-TS2,6.11,ADAMWTS-T_3,ADA-W-TS1,ADA-W-TS2,DONATION-T_3,DONATION,6.12,DONATION-T_3,DONATION,ADAMWD-T_3,ADAM-W-TS1,ADAM-W-TS2,6.21,ADNAITS-T_3,ADN-I-TS-1,ADN-I-TS-2,DONATION-T_3,DONATION,6.22,DONATION-T_3,DONATION,ADNAID-T_3,ADNA-I-TS1,ADNA-I-TS2,vignette.eth.order,vignette,vignette_name,eth,eth_name,order,order_name,ts_time,ts_forced,ts_scale,donation_time,donation,ethn_ss,comp_eth,comp_eth_recode,comp_char,Comp2,check_excl,exclude
1,R_2P7DrKqbnaOt3zd,A3HNEYFOIJWPH1,32,1,2,8,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.981,1,8,16.332,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11,3,biz,1,white,1,TS_first,27.981,1,8,16.332,14,6,6,1,2,I have read the instructions,0,0
2,R_2zeI9cJps8xs6CG,A1T9IKE8GV4LR4,29,2,4,8,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.935,16,20.99,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.12,5,minorities,1,white,2,Donation_first,20.99,1,6,22.935,16,6,6,1,2,I have read the instructions,0,0
3,R_3j08D6IvjDf736q,AKLV0WIZZ356X,40,2,4,6,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.578,1,7,12.499,16,,,,,,,,,,,,,,,,,,,6.11,6,police,1,white,1,TS_first,30.578,1,7,12.499,16,6,6,1,2,I have read the instructions,0,0
4,R_2SujuDxDgL7QVgr,A1IFVCI9XDS70U,26,2,5,7,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.323,16,39.252,1,7,,,,,,,,,,,,,,,,,,,,,,,,,5.22,5,minorities,2,immigrant,2,Donation_first,39.252,1,7,11.323,16,6,5,2,2,I have read the instructions,0,0
5,R_3kL0vdj4IA3YuKK,ANPCXN619ACW9,26,2,4,6,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.299,20,67.941,2,3,,,,,,,,,,,,,6.12,6,police,1,white,2,Donation_first,67.941,2,3,7.299,20,6,6,1,2,I have read the instructions,0,0
6,R_2fg5UsMcK6JlOrK,AL36KBFL3ORCD,23,2,2,5,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.648,1,9,22.435,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.21,3,biz,2,immigrant,1,TS_first,55.648,1,9,22.435,16,6,6,1,2,I have read the instructions,0,1
7,R_dnxEIW32mUoGiGJ,ADCUK2AHXYSBJ,37,2,6,5,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.871,18,30.437,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,2,terr,2,immigrant,2,Donation_first,30.437,1,9,22.871,18,1,5,2,2,I have read the instructions,0,1
8,R_1gH1vAj7CKfeHsb,A2E3TO92MCQ9XU,35,1,5,6,I have read the instructions,0,,,,,,,,7.422,16,28.971,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,1,dad,1,white,2,Donation_first,28.971,3,5,7.422,16,6,6,1,2,I have read the instructions,0,0
9,R_2yfHWGS5Im9fslz,A1ISQWPY0S1OKQ,34,2,6,6,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.405,1,7,11.95,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4,alcohol,1,white,1,TS_first,44.405,1,7,11.95,21,6,6,1,2,I have read the instructions,0,0
10,R_3EaRSqsFKegVVC1,A1CXXG7SJUHRN1,37,2,4,6,I have read the instructions,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.344,1,8,16.82,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4,alcohol,1,white,1,TS_first,44.344,1,8,16.82,12,6,6,1,2,I have read the instructions,0,0
